Change Physical Footprint: Designator=1 Old Footprint=AK-207 New Footprint=AK-207
Change Physical Footprint: Designator=RA_31 Old Footprint=CAT16-102J4LF_2 New Footprint=CAT16-102J4LF_2
Change Physical Footprint: Designator=RA_32 Old Footprint=CAT16-102J4LF_2 New Footprint=CAT16-102J4LF_2
Change Physical Footprint: Designator=Reset Button Old Footprint=ps850l New Footprint=ps850l
Change Physical Footprint: Designator=Rvar1 Old Footprint=R-0904N-A10K, L20KC New Footprint=R-0904N-A10K, L20KC
Change Physical Footprint: Designator=Rvar2 Old Footprint=R-0904N-A10K, L20KC New Footprint=R-0904N-A10K, L20KC
Change Physical Footprint: Designator=Rvar3 Old Footprint=R-0904N-A10K, L20KC New Footprint=R-0904N-A10K, L20KC
Change Physical Footprint: Designator=Sound1 Old Footprint=SCS-17-P10 New Footprint=SCS-17-P10
Change Physical Footprint: Designator=SREG1 Old Footprint=SN74HC164DRX New Footprint=SN74HC164DRX
Change Physical Footprint: Designator=SREG2 Old Footprint=SN74HC164DRX New Footprint=SN74HC164DRX
Change Physical Footprint: Designator=SREG3 Old Footprint=SN74HC164DRX New Footprint=SN74HC164DRX
Change Physical Footprint: Designator=SREG4 Old Footprint=SN74HC164DRX New Footprint=SN74HC164DRX
Change Physical Footprint: Designator=SREGLCD1 Old Footprint=SN74HC164DRX New Footprint=SN74HC164DRX
Change Physical Footprint: Designator=TPS 1 Old Footprint=SOT223-5 New Footprint=SOT223-5
Change Physical Footprint: Designator=V1 Old Footprint=IRU1010-18 New Footprint=IRU1010-18
Change Physical Footprint: Designator=V3.3 Old Footprint=LM1085 New Footprint=LM1085
Change Physical Footprint: Designator=Vcc2 Old Footprint=sot223 New Footprint=sot223
Change Physical Footprint: Designator=VCC_Switch Old Footprint=switch New Footprint=switch
Change Physical Footprint: Designator=VCC_Switch1 Old Footprint=switch New Footprint=switch
Change Physical Footprint: Designator=VCC_Switch2 Old Footprint=switch New Footprint=switch
Change Physical Footprint: Designator=VD1 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=VD2 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=WG1 Old Footprint=WG12864A New Footprint=WG12864A
